filename,category,april_events,is_valid_event
301.txt,business," The US lifted a trade ban on Libya in April, allowing Libya to withdraw $1bn in previously frozen assets.",True
315.txt,business," Scottish and Newcastle (S&N) extends its Indian beer venture by buying a 37.5% stake in India's United Breweries, maker of Kingfisher lager. The deal is worth 4.66bn rupees. United Breweries expects to have about half of India's beer market postmerger. Additionally, United's budget airline, Kingfisher Airlines, is set to start operations by the end of April and aims to break even in its first year of operation.",True
473.txt,business, The merger of Nigerian banks United Bank of Africa and Standard Trust Bank to create the biggest bank in West Africa was announced in April.,True
314.txt,business, Baikal Finance Group outbid Gazprom to buy the main production unit of oil giant Yukos for $9.37bn in April. Yukos reacted by stating the auction was illegal and may have to declare bankruptcy. Legal action was threatened against the auction winners.,True
310.txt,business," Nike reported worldwide futures orders for athletic footwear and gear scheduled for delivery from December 2004 to April 2005 of $4.9bn, which is 9.1% higher than orders reported for the same period last year.",True
098.txt,business, The IMF's draft World Economic Outlook is due to be published in April.,True
071.txt,business," Kirin is launching its own ""thirdtype"" drink in April.",True
111.txt,business," Unilever announced a restructuring plan to merge its two management boards after reporting ""unsatisfactory"" earnings for 2004.",True
313.txt,business, The Iraqi Oil Ministry awarded the first postwar oilfield contracts to a Canadian and a Turkish company in April.,True
058.txt,business," Electrolux announced it would be shifting more of its manufacturing to lowcost countries, relocating about 10 of its 27 plants in western Europe and North America to Asia, eastern Europe, and Mexico.",True
375.txt,business," LG Card, South Korea's largest credit card firm, averted liquidation following a one trillion won bailout in April.",True
162.txt,business, MCI exited bankruptcy in April.,True
189.txt,business," Sergio Marchionne has taken daytoday control of Fiat's struggling car business in an effort to turn it around.
 Fiat is expected to make an 800m euro loss in 2004.
 Fiat underperformed the market in Europe last year with flat sales.
 Fiat is integrating the Maserati car company within its operations.
 Ferrari, owned by Fiat, could be separately floated on the stock market in 2006 or 2007.
 Fiat reached an agreement with GM to dissolve an alliance, with GM paying Fiat $2bn as part of the settlement.",True
200.txt,business," Fidel Castro's decision to ban all cash transactions in US dollars in Cuba, subjecting conversions to a 10% tax, took place in April.",True
216.txt,business, Carlos Ghosn is set to become chairman and chief executive of Renault in April.,True
202.txt,business, MCI emerged from bankruptcy protection in April.,True
377.txt,business," Volkswagen is considering building a car factory in India, with plans to potentially open an assembly plant in the port city of Visakhapatnam on India's eastern coast.",True
210.txt,business, IMF boss Rodrigo Rato is expected to present his conclusions at an IMF meeting in Washington during April.,True
167.txt,business," The assassination of former prime minister Rafik Hariri occurred in April, leading to a threeday market closure in Beirut to mourn his death.",True
234.txt,business, William Morrow will succeed Shiro Tsuda as president of Vodafone KK in April.,True
357.txt,business," The Open Society Institute (OSI), financed by George Soros, accused Kazakhstan officials of trying to close down its local office in April.",True
419.txt,business, Judy Boynton stepped down from her post as finance chief of Shell in April 2004 after the firm overstated its reserves.,True
430.txt,business, Toyota will launch a hybrid version of its Highlander SUV in April.,True
034.txt,business, Rover bosses are confident that a £1bn investment deal will be signed in March or early April.,True
150.txt,business, The suspension of sales of the multiple sclerosis drug Tysabri by Elan and Biogen Idec occurred in April.,True
347.txt,business, The value of trade between India and Pakistan in AprilJuly rose to $186.3m from $64.4m in the same period in 2003.,True
409.txt,business, Standard Chartered's acquisition of Korea First Bank is expected to be completed by April 2005.,True
479.txt,business," Ford reported higher fourth quarter and fullyear profits in April, boosted by a successful period for its car loans unit.",True
322.txt,business, The Japanese government has forecasted that the country's economic growth will slow to 1.6% in the next fiscal year starting in April 2005.,True
268.txt,business," The government's new Child Trust Fund will start in April 2005, with vouchers worth £250 or £500 for lowincome families being distributed. Parents will need to decide which financial institution will manage this gift in time for the start of the scheme. Parents and relatives will be able to top up the fund with up to £1,200 a year, growing taxfree.",True
452.txt,business, Jim Cantalupo died suddenly of a heart attack in April.,True
335.txt,business," Japan Airlines has made a firm order for 30 of Boeing's 7E7 planes, with the option to buy 20 more. The first 7E7s will be delivered to Japan Airlines in April 2008.",True
241.txt,business, The International Monetary Fund (IMF) is to look at a proposal to use its gold supplies to help the debt relief effort when it meets in April.,True
251.txt,business, MCI emerged from Chapter 11 bankruptcy protection in April last year.,True
318.txt,business, The sale of Russia's Yuganskneftegas to Baikal Finance Group for 260.75bn roubles (£4.8bn; $9.4bn) occurred in April.,True
278.txt,business," The takeover of AT&T by SBC Communications was announced in April, with plans to cut around 12,800 jobs as a result.",True
291.txt,business," In April, a court in Washington rejected the government's $280bn claim against US tobacco companies for alleged deceit about smoking dangers. This decision led to a rise in tobacco stocks on Wall Street.",True
252.txt,business," BT plans to cut the wholesale prices of its most popular broadband product by about 8% from April in areas of high customer demand.
 BT plans to invest £10bn in the next five years to create a ""21st Century network"" and will begin trials in April with a view to launching higherspeed services nationally from the autumn.",True
247.txt,business," Renault boosted its profits by more than 40% in 2004, with strong sales outside western Europe contributing to the increase. The firm warned of lower margins for the upcoming year.",True
276.txt,entertainment, Pete Doherty faced blackmail and robbery charges in court on Monday and is scheduled to appear in court again on 18 April.,True
060.txt,entertainment," The film adaptation of Lemony Snicket novels, ""A Series of Unfortunate Events,"" starring Jim Carrey, topped the North America box office chart in its debut weekend in April.",True
100.txt,entertainment," The film ""Meet The Fockers"" held the number one spot at the North American box office for a second week in April, with overall takings exceeding $163m in 12 days.",True
128.txt,entertainment, Glasgow's Franz Ferdinand earned a place at number nine for their hometown performance in April.,True
258.txt,entertainment," In April 2004, Courtney Love was charged with assaulting musician Kristin King with a whisky bottle in her boyfriend's home.",True
106.txt,entertainment," The Streets, aka Mike Skinner, topped a poll to find the year's best album in April.",True
067.txt,entertainment," The Cesar award ceremony took place in April, where the film L'Esquive won top honors.
 US film Lost in Translation won the award for best foreign feature at the Cesar awards.
 Will Smith received an honorary award at the Cesar ceremony in April.",True
259.txt,entertainment," In April 2004, Kanye West's song ""Through the Wire"" became his first UK hit.
 The resulting album, ""The College Dropout,"" was released in April and became a transatlantic success.
 Kanye West was shortlisted for 10 Grammys, including nominations for artist and album of the year, with the awards ceremony typically taking place in April.",True
312.txt,entertainment," The new comedy ""Diary of a Mad Black Woman"" ended Will Smith's reign at the top of the North American box office in April.",True
375.txt,entertainment, The Michael Jackson child abuse trial took place in the Californian town of Santa Maria in April.,True
189.txt,entertainment, The 2004 TV Moments will be shown on BBC One at 2000 GMT on Wednesday.,True
016.txt,entertainment, Arthur Hailey's television screenplay Flight into Danger was shown on TV in April 1956.,True
002.txt,entertainment, A concert at Parken stadium in Copenhagen on 2 April to mark the bicentennial of the birth of writer Hans Christian Andersen.,True
029.txt,entertainment," The Rotterdam Film Festival showcased a film based on the internet musings of the ""Baghdad Blogger"" and other films about Iraq in April.",True
015.txt,entertainment," The Guardian First Book Award 2004 was won by Armand Marie Leroi for his book Mutants: On the form, varieties and errors of the human body.",True
011.txt,entertainment, The Royal Academy of Arts annual Secrets sale opened on Friday and will close on Saturday in April.,True
367.txt,entertainment," The Oscars ceremony is scheduled for April, with changes such as lining up all five nominees on stage before announcing the winner.",True
158.txt,entertainment," Queen, with Paul Rodgers as the lead singer, is scheduled to go on tour in April.",True
